a =  4 b =  1 c= 1 y=  6 cout= 0 sum_correct =           6, sum =           6, valid result = 1
a =  3 b = 13 c= 1 y=  1 cout= 1 sum_correct =          17, sum =          17, valid result = 1
a =  5 b =  2 c= 1 y=  8 cout= 0 sum_correct =           8, sum =           8, valid result = 1
a = 13 b =  6 c= 1 y=  4 cout= 1 sum_correct =          20, sum =          20, valid result = 1
a = 13 b = 12 c= 1 y= 10 cout= 1 sum_correct =          26, sum =          26, valid result = 1
a =  6 b =  5 c= 0 y= 11 cout= 0 sum_correct =          11, sum =          11, valid result = 1
a =  5 b =  7 c= 0 y= 12 cout= 0 sum_correct =          12, sum =          12, valid result = 1
a = 15 b =  2 c= 0 y=  1 cout= 1 sum_correct =          17, sum =          17, valid result = 1
a =  8 b =  5 c= 0 y= 13 cout= 0 sum_correct =          13, sum =          13, valid result = 1
a = 13 b = 13 c= 1 y= 11 cout= 1 sum_correct =          27, sum =          27, valid result = 1
a =  3 b = 10 c= 0 y= 13 cout= 0 sum_correct =          13, sum =          13, valid result = 1
a =  0 b = 10 c= 1 y= 11 cout= 0 sum_correct =          11, sum =          11, valid result = 1
a =  6 b =  3 c= 1 y= 10 cout= 0 sum_correct =          10, sum =          10, valid result = 1
a =  3 b = 11 c= 1 y= 15 cout= 0 sum_correct =          15, sum =          15, valid result = 1
a =  2 b = 14 c= 1 y=  1 cout= 1 sum_correct =          17, sum =          17, valid result = 1
a = 15 b =  3 c= 0 y=  2 cout= 1 sum_correct =          18, sum =          18, valid result = 1
a = 10 b = 12 c= 0 y=  6 cout= 1 sum_correct =          22, sum =          22, valid result = 1
a = 10 b =  1 c= 0 y= 11 cout= 0 sum_correct =          11, sum =          11, valid result = 1
a =  8 b =  9 c= 1 y=  2 cout= 1 sum_correct =          18, sum =          18, valid result = 1
a =  6 b =  6 c= 0 y= 12 cout= 0 sum_correct =          12, sum =          12, valid result = 1
a = 12 b = 10 c= 1 y=  7 cout= 1 sum_correct =          23, sum =          23, valid result = 1
a =  1 b =  5 c= 1 y=  7 cout= 0 sum_correct =           7, sum =           7, valid result = 1
a = 11 b = 10 c= 0 y=  5 cout= 1 sum_correct =          21, sum =          21, valid result = 1
a =  5 b =  1 c= 1 y=  7 cout= 0 sum_correct =           7, sum =           7, valid result = 1
a =  2 b = 12 c= 1 y= 15 cout= 0 sum_correct =          15, sum =          15, valid result = 1
a = 15 b =  8 c= 1 y=  8 cout= 1 sum_correct =          24, sum =          24, valid result = 1
a = 15 b = 12 c= 1 y= 12 cout= 1 sum_correct =          28, sum =          28, valid result = 1
